,id,Predicted
0,aaclkul,student
1,aagelci,other
2,aangjmn,other
3,aawnpc,other
4,abdjgiz,student
5,abeith,other
6,acbplmv,faculty
7,aceolgzx,other
8,aeohgccl,other
9,afdtazl,other
10,ahomx,faculty
11,aigkvvw,student
12,aiiuj,course
13,aimch,student
14,aiqltd,other
15,aishkqu,other
16,aixqtudn,other
17,aizdnscx,other
18,ajgfhfc,other
19,ajjwszik,other
20,akbfdvs,student
21,aktnyrw,student
22,alfaog,other
23,aljsfwq,student
24,alrywqkr,other
25,altuxox,student
26,altxhm,other
27,amowrsh,other
28,ampuskyi,other
29,amvukjdd,other
30,amwcmt,other
31,amzuns,other
32,anjxcrs,other
33,anpusdof,course
34,apakwv,other
35,apcgc,student
36,apkhal,student
37,aplafmip,faculty
38,apmwy,other
39,apnbs,other
40,appjcc,other
41,aqhzllis,faculty
42,aqsrcsy,other
43,arwvjftm,other
44,arzeerl,student
45,asani,course
46,asjtpgrs,other
47,aslkxlcr,other
48,asmucefp,other
49,aspksukx,faculty
50,aspnkeit,other
51,audtaxh,other
52,augeudkf,course
53,augwaud,other
54,aunqt,other
55,avemi,student
56,awioiejc,faculty
57,awlal,student
58,axgkxmj,other
59,axphpch,other
60,aykqf,other
61,ayteap,faculty
62,azndzp,other
63,bbgkx,other
64,bcsrsbug,student
65,bdcydd,faculty
66,bdptkaio,other
67,bdwiu,other
68,begqls,other
69,beoczxhp,other
70,beoyl,other
71,beveykcq,other
72,bfiznf,other
73,bghlh,other
74,bgnisk,other
75,bgudhc,other
76,bgxblaq,student
77,bhjnxfeq,other
78,bhkvqidu,other
79,bhlwohi,other
80,bhptsyjz,other
81,bhuwf,other
82,bhzijblm,other
83,biaio,student
84,bilwr,other
85,bjjitsgt,other
86,bjwiuevz,other
87,bjzfnftw,project
88,blobw,course
89,bmmzflr,other
90,bnbsv,student
91,boarhn,other
92,bodmvxdf,other
93,bofjb,other
94,bondtsrh,other
95,bovyrx,other
96,bpblgwar,other
97,bphhvc,other
98,bpjzrlxy,other
99,bpxla,other
100,bqbvlmis,other
101,bqcuk,other
102,bqfbagmb,other
103,brhotofi,student
104,brmtqcj,other
105,brorn,other
106,browzov,course
107,brwup,other
108,brzpgboe,other
109,bsjgc,other
110,bsjsuzw,other
111,bslps,other
112,btpdso,faculty
113,btrlegkg,other
114,bttjq,other
115,bulvw,student
116,bumcmpt,student
117,bvabh,other
118,bvkkhgyo,course
119,bvnniatg,other
120,bvtwusw,other
121,bvvko,course
122,bwjjh,student
123,bwvavr,faculty
124,bxwnlyu,other
125,bxxlthi,other
126,bypmk,other
127,byyxifzz,other
128,bzavavce,other
129,bzbyv,other
130,bzthieu,other
131,caaelf,student
132,caecfi,other
133,caeck,student
134,caogdi,course
135,cbdxh,student
136,cbuuznl,other
137,ccbje,other
138,cddmp,other
139,cdhwa,other
140,cdruyo,other
141,cehogf,faculty
142,cenlf,student
143,cfcynn,faculty
144,cfsvmoen,other
145,cftid,other
146,cfwzqt,other
147,cgjuowc,faculty
148,charmfhj,other
149,chwusgl,other
150,cifmtm,other
151,cifyk,student
152,cioumfyi,other
153,ciuipt,other
154,ciwmb,other
155,cjnrzzmk,other
156,cjnxondy,other
157,ckemt,student
158,cketrvj,other
159,ckhzgl,other
160,clcydbp,student
161,clkaoj,other
162,clpyjrid,other
163,clsxoodd,other
164,cnhjk,other
165,cnlce,other
166,coomnevj,other
167,cotsv,other
168,cqksepwt,other
169,cqqqjx,other
170,cqtek,course
171,cqyvoud,other
172,cqzxj,other
173,crbexe,other
174,crusceee,other
175,ctfljg,faculty
176,ctshqqfo,other
177,cvxtmt,project
178,cwlxvwh,other
179,cxdpjw,other
180,cxjmjdh,other
181,cxvkh,other
182,czkze,faculty
183,czvftspe,other
184,czwglks,other
185,dbtooseb,other
186,dcbnebw,faculty
187,dcidctu,other
188,dclyjjg,other
189,ddgreszb,student
190,ddlpfjed,student
191,ddsnlb,faculty
192,ddurpci,other
193,ddwoml,other
194,debuzvc,other
195,deopslyp,other
196,deqwxxpt,other
197,devpg,other
198,dfuhpn,other
199,dfvnobj,student
200,dfzdiiy,faculty
201,dgppgjr,other
202,dhrezf,student
203,dhtdvz,other
204,digdken,other
205,djqfg,student
206,djrcms,other
207,dkgpnac,other
208,dkzacj,student
209,dmdjwh,other
210,dmiti,student
211,dmxjlh,other
212,doihof,other
213,dqhfisnj,other
214,dqxgzzq,other
215,dsnfmpl,department
216,dsvfsknw,other
217,duevfegy,other
218,duewkd,course
219,duhyq,faculty
220,dupih,other
221,dupnrc,other
222,duztbzxs,other
223,dvtry,other
224,dwsrmkmd,course
225,dxratuv,other
226,dxwljzj,project
227,dykbpos,other
228,dyruktbc,other
229,dyzbzmd,student
230,eanugl,other
231,eapzf,other
232,ecpfwumt,other
233,eechlt,other
234,eenhsx,other
235,eeqnxdb,other
236,eezqfeb,faculty
237,efkum,other
238,egjrrq,other
239,egqhoaq,faculty
240,eicecdq,student
241,eicifodp,course
242,eihif,other
243,eisomf,other
244,ejdmt,other
245,ejygdjl,other
246,ekauzlfp,other
247,eksgz,other
248,ekwtr,other
249,elbnnrs,other
250,elgcpgx,other
251,elsgfepj,other
252,emjhblgl,other
253,empwxl,other
