,id,Predicted
0,aaclkul,other
1,aagelci,other
2,aangjmn,other
3,aawnpc,other
4,abdjgiz,other
5,abeith,other
6,acbplmv,other
7,aceolgzx,other
8,aeohgccl,other
9,afdtazl,other
10,ahomx,other
11,aigkvvw,other
12,aiiuj,course
13,aimch,other
14,aiqltd,other
15,aishkqu,other
16,aixqtudn,other
17,aizdnscx,other
18,ajgfhfc,other
19,ajjwszik,other
20,akbfdvs,other
21,aktnyrw,other
22,alfaog,other
23,aljsfwq,other
24,alrywqkr,other
25,altuxox,other
26,altxhm,other
27,amowrsh,other
28,ampuskyi,other
29,amvukjdd,other
30,amwcmt,other
31,amzuns,other
32,anjxcrs,other
33,anpusdof,course
34,apakwv,other
35,apcgc,other
36,apkhal,other
37,aplafmip,other
38,apmwy,other
39,apnbs,other
40,appjcc,other
41,aqhzllis,other
42,aqsrcsy,other
43,arwvjftm,other
44,arzeerl,other
45,asani,other
46,asjtpgrs,other
47,aslkxlcr,other
48,asmucefp,other
49,aspksukx,other
50,aspnkeit,other
51,audtaxh,other
52,augeudkf,other
53,augwaud,other
54,aunqt,other
55,avemi,other
56,awioiejc,other
57,awlal,other
58,axgkxmj,other
59,axphpch,other
60,aykqf,other
61,ayteap,other
62,azndzp,other
63,bbgkx,other
64,bcsrsbug,other
65,bdcydd,other
66,bdptkaio,other
67,bdwiu,other
68,begqls,other
69,beoczxhp,other
70,beoyl,other
71,beveykcq,other
72,bfiznf,other
73,bghlh,other
74,bgnisk,other
75,bgudhc,other
76,bgxblaq,other
77,bhjnxfeq,other
78,bhkvqidu,other
79,bhlwohi,other
80,bhptsyjz,other
81,bhuwf,other
82,bhzijblm,other
83,biaio,other
84,bilwr,other
85,bjjitsgt,other
86,bjwiuevz,other
87,bjzfnftw,other
88,blobw,other
89,bmmzflr,other
90,bnbsv,other
91,boarhn,other
92,bodmvxdf,other
93,bofjb,other
94,bondtsrh,other
95,bovyrx,other
96,bpblgwar,other
97,bphhvc,other
98,bpjzrlxy,other
99,bpxla,other
100,bqbvlmis,other
101,bqcuk,other
102,bqfbagmb,other
103,brhotofi,other
104,brmtqcj,other
105,brorn,other
106,browzov,other
107,brwup,other
108,brzpgboe,other
109,bsjgc,other
110,bsjsuzw,other
111,bslps,other
112,btpdso,other
113,btrlegkg,other
114,bttjq,other
115,bulvw,other
116,bumcmpt,other
117,bvabh,other
118,bvkkhgyo,other
119,bvnniatg,other
120,bvtwusw,other
121,bvvko,course
122,bwjjh,other
123,bwvavr,other
124,bxwnlyu,other
125,bxxlthi,other
126,bypmk,other
127,byyxifzz,other
128,bzavavce,other
129,bzbyv,other
130,bzthieu,other
131,caaelf,other
132,caecfi,other
133,caeck,other
134,caogdi,other
135,cbdxh,other
136,cbuuznl,other
137,ccbje,other
138,cddmp,other
139,cdhwa,other
140,cdruyo,other
141,cehogf,other
142,cenlf,other
143,cfcynn,other
144,cfsvmoen,other
145,cftid,other
146,cfwzqt,other
147,cgjuowc,other
148,charmfhj,other
149,chwusgl,other
150,cifmtm,other
151,cifyk,other
152,cioumfyi,other
153,ciuipt,other
154,ciwmb,other
155,cjnrzzmk,other
156,cjnxondy,other
157,ckemt,other
158,cketrvj,other
159,ckhzgl,other
160,clcydbp,other
161,clkaoj,other
162,clpyjrid,other
163,clsxoodd,other
164,cnhjk,other
165,cnlce,other
166,coomnevj,other
167,cotsv,other
168,cqksepwt,other
169,cqqqjx,other
170,cqtek,other
171,cqyvoud,other
172,cqzxj,other
173,crbexe,other
174,crusceee,other
175,ctfljg,other
176,ctshqqfo,other
177,cvxtmt,other
178,cwlxvwh,other
179,cxdpjw,other
180,cxjmjdh,other
181,cxvkh,other
182,czkze,other
183,czvftspe,other
184,czwglks,other
185,dbtooseb,other
186,dcbnebw,other
187,dcidctu,other
188,dclyjjg,other
189,ddgreszb,other
