,id,Predicted
0,aaclkul,other
1,aagelci,project
2,aangjmn,other
3,aawnpc,other
4,abdjgiz,other
5,abeith,other
6,acbplmv,other
7,aceolgzx,other
8,aeohgccl,other
9,afdtazl,student
10,ahomx,project
11,aigkvvw,other
12,aiiuj,other
13,aimch,student
14,aiqltd,other
15,aishkqu,other
16,aixqtudn,other
17,aizdnscx,other
18,ajgfhfc,other
19,ajjwszik,other
20,akbfdvs,other
21,aktnyrw,other
22,alfaog,other
23,aljsfwq,student
24,alrywqkr,department
25,altuxox,other
26,altxhm,other
27,amowrsh,other
28,ampuskyi,other
29,amvukjdd,other
30,amwcmt,other
31,amzuns,other
32,anjxcrs,faculty
33,anpusdof,course
34,apakwv,other
35,apcgc,other
36,apkhal,other
37,aplafmip,faculty
38,apmwy,student
39,apnbs,other
40,appjcc,course
41,aqhzllis,other
42,aqsrcsy,other
43,arwvjftm,student
44,arzeerl,other
45,asani,other
46,asjtpgrs,other
47,aslkxlcr,other
48,asmucefp,other
49,aspksukx,other
50,aspnkeit,other
51,audtaxh,other
52,augeudkf,course
53,augwaud,other
54,aunqt,course
55,avemi,other
56,awioiejc,student
57,awlal,other
58,axgkxmj,other
59,axphpch,other
60,aykqf,other
61,ayteap,other
62,azndzp,other
63,bbgkx,other
64,bcsrsbug,student
65,bdcydd,other
66,bdptkaio,other
67,bdwiu,other
68,begqls,other
69,beoczxhp,other
70,beoyl,other
71,beveykcq,other
72,bfiznf,other
73,bghlh,other
74,bgnisk,other
75,bgudhc,other
76,bgxblaq,other
77,bhjnxfeq,other
78,bhkvqidu,other
79,bhlwohi,other
80,bhptsyjz,student
81,bhuwf,other
82,bhzijblm,other
83,biaio,student
84,bilwr,other
85,bjjitsgt,other
86,bjwiuevz,other
87,bjzfnftw,other
88,blobw,other
89,bmmzflr,other
90,bnbsv,other
91,boarhn,other
92,bodmvxdf,other
93,bofjb,other
94,bondtsrh,faculty
95,bovyrx,other
96,bpblgwar,other
97,bphhvc,other
98,bpjzrlxy,other
99,bpxla,project
100,bqbvlmis,other
101,bqcuk,student
102,bqfbagmb,other
103,brhotofi,student
104,brmtqcj,other
105,brorn,other
106,browzov,course
107,brwup,other
108,brzpgboe,other
109,bsjgc,other
110,bsjsuzw,other
111,bslps,other
112,btpdso,faculty
113,btrlegkg,other
114,bttjq,other
115,bulvw,student
116,bumcmpt,other
117,bvabh,other
118,bvkkhgyo,other
119,bvnniatg,other
120,bvtwusw,other
121,bvvko,course
122,bwjjh,other
123,bwvavr,other
124,bxwnlyu,other
125,bxxlthi,student
126,bypmk,course
127,byyxifzz,student
128,bzavavce,other
129,bzbyv,other
130,bzthieu,department
131,caaelf,other
132,caecfi,other
133,caeck,other
134,caogdi,course
135,cbdxh,student
136,cbuuznl,other
137,ccbje,other
138,cddmp,other
139,cdhwa,student
140,cdruyo,student
141,cehogf,other
142,cenlf,other
143,cfcynn,other
144,cfsvmoen,other
145,cftid,other
146,cfwzqt,other
147,cgjuowc,faculty
148,charmfhj,other
149,chwusgl,other
150,cifmtm,faculty
151,cifyk,student
152,cioumfyi,other
153,ciuipt,other
154,ciwmb,other
155,cjnrzzmk,other
156,cjnxondy,other
157,ckemt,student
158,cketrvj,other
159,ckhzgl,other
160,clcydbp,other
161,clkaoj,other
162,clpyjrid,other
163,clsxoodd,other
164,cnhjk,other
165,cnlce,other
166,coomnevj,other
167,cotsv,other
168,cqksepwt,other
169,cqqqjx,other
170,cqtek,course
171,cqyvoud,other
172,cqzxj,other
173,crbexe,other
174,crusceee,other
175,ctfljg,other
176,ctshqqfo,other
177,cvxtmt,project
178,cwlxvwh,course
179,cxdpjw,student
180,cxjmjdh,other
181,cxvkh,faculty
182,czkze,faculty
183,czvftspe,other
184,czwglks,other
185,dbtooseb,other
186,dcbnebw,other
187,dcidctu,other
188,dclyjjg,other
189,ddgreszb,student
190,ddlpfjed,student
191,ddsnlb,other
192,ddurpci,faculty
193,ddwoml,project
194,debuzvc,other
195,deopslyp,other
196,deqwxxpt,other
197,devpg,other
198,dfuhpn,other
199,dfvnobj,other
200,dfzdiiy,other
201,dgppgjr,other
202,dhrezf,other
203,dhtdvz,other
204,digdken,other
205,djqfg,student
206,djrcms,other
207,dkgpnac,other
208,dkzacj,student
209,dmdjwh,other
210,dmiti,other
211,dmxjlh,other
212,doihof,other
213,dqhfisnj,other
214,dqxgzzq,other
215,dsnfmpl,other
216,dsvfsknw,other
217,duevfegy,other
218,duewkd,course
219,duhyq,project
220,dupih,other
221,dupnrc,other
222,duztbzxs,other
223,dvtry,other
224,dwsrmkmd,course
225,dxratuv,other
226,dxwljzj,project
227,dykbpos,other
228,dyruktbc,other
229,dyzbzmd,student
230,eanugl,course
231,eapzf,other
232,ecpfwumt,other
233,eechlt,other
234,eenhsx,other
235,eeqnxdb,other
236,eezqfeb,other
237,efkum,other
238,egjrrq,student
239,egqhoaq,project
240,eicecdq,other
241,eicifodp,course
242,eihif,other
243,eisomf,other
244,ejdmt,other
245,ejygdjl,other
246,ekauzlfp,other
247,eksgz,project
248,ekwtr,other
249,elbnnrs,other
250,elgcpgx,other
251,elsgfepj,other
252,emjhblgl,other
253,empwxl,other
254,emtufqje,other
255,enikcsv,other
256,eoohbumy,other
257,epftt,other
258,eplubxxs,other
259,eporowdg,other
260,epuimb,other
261,epxzvm,student
262,erxspdd,other
263,eshbrq,other
264,esjxb,other
265,espxbh,other
266,estbkk,other
267,esxrrht,other
268,etibjjjs,other
269,eudatvy,other
270,evegw,student
271,evwphope,other
272,ewlew,other
273,ewnonvxy,other
274,ewsktq,other
275,ewwcso,other
276,exatc,other
277,excvdwzh,other
278,exiitk,other
279,eyaswbjz,other
280,eygbw,other
281,eyjdhqq,other
282,eysee,other
283,eytliaib,student
284,eyvafkd,other
285,eyxtv,faculty
286,ezpaic,other
287,fajpkgj,other
288,faprw,other
289,faqoft,other
290,fbcvban,student
291,fbzij,other
292,fcpcxixw,other
293,fcwjgf,other
294,fczhavit,student
295,fdxcbwrj,other
296,feavav,other
297,feeuawp,course
298,fekdcta,other
299,ffcrqo,other
300,ffczrnz,other
301,ffqtge,other
302,ffrkhfcp,other
303,fgnuh,other
304,fhalcyxq,other
305,fhayg,faculty
306,fhszf,other
307,fhwlo,other
308,fimnwyjw,other
309,fizgc,other
310,fjxpjfez,other
311,fksba,other
312,fkvuit,course
313,flectkq,other
314,flgtpxn,other
315,fmahjld,other
316,fmjcrj,other
317,fmmiki,other
318,fmqwylsg,other
319,fndgjmzm,other
320,fnqkojm,course
321,fnsurvey,course
322,fppga,other
323,fpwuad,other
324,fqealu,other
325,fqkyhcel,other
326,fqnaj,student
327,fromyknh,other
328,fsjvm,other
329,ftipfpcv,other
330,fudhjb,other
331,fugmzdml,other
332,fuvxncl,other
333,fuxozggi,other
334,fvcnksd,other
335,fvgngpl,other
336,fvuyfjv,other
337,fwzhcxrx,other
338,fxabo,other
339,fxqhlu,course
340,fygug,other
341,fzgowhq,other
342,fzuwzk,other
343,fzyjwl,other
344,gaqepyeo,course
