,id,Predicted
0,aaclkul,other
1,aagelci,other
2,aangjmn,other
3,aawnpc,other
4,abdjgiz,student
5,abeith,other
6,acbplmv,faculty
7,aceolgzx,other
8,aeohgccl,other
9,afdtazl,student
10,ahomx,faculty
11,aigkvvw,student
12,aiiuj,course
13,aimch,student
14,aiqltd,faculty
15,aishkqu,other
16,aixqtudn,other
17,aizdnscx,other
18,ajgfhfc,other
19,ajjwszik,faculty
20,akbfdvs,student
21,aktnyrw,student
22,alfaog,course
23,aljsfwq,student
24,alrywqkr,project
25,altuxox,student
26,altxhm,other
27,amowrsh,other
28,ampuskyi,project
29,amvukjdd,other
30,amwcmt,other
31,amzuns,other
32,anjxcrs,faculty
33,anpusdof,course
34,apakwv,other
35,apcgc,faculty
36,apkhal,student
37,aplafmip,faculty
38,apmwy,other
39,apnbs,project
40,appjcc,project
41,aqhzllis,faculty
42,aqsrcsy,department
43,arwvjftm,faculty
44,arzeerl,student
45,asani,course
46,asjtpgrs,student
47,aslkxlcr,other
48,asmucefp,other
49,aspksukx,faculty
50,aspnkeit,other
51,audtaxh,other
52,augeudkf,course
53,augwaud,other
54,aunqt,other
55,avemi,student
56,awioiejc,faculty
57,awlal,student
58,axgkxmj,other
59,axphpch,other
60,aykqf,other
61,ayteap,project
62,azndzp,other
63,bbgkx,other
64,bcsrsbug,student
65,bdcydd,faculty
66,bdptkaio,other
67,bdwiu,other
68,begqls,other
69,beoczxhp,other
70,beoyl,other
71,beveykcq,other
72,bfiznf,other
73,bghlh,other
74,bgnisk,other
75,bgudhc,other
76,bgxblaq,other
77,bhjnxfeq,student
78,bhkvqidu,course
79,bhlwohi,other
80,bhptsyjz,student
81,bhuwf,other
82,bhzijblm,other
83,biaio,student
84,bilwr,other
85,bjjitsgt,other
86,bjwiuevz,other
87,bjzfnftw,project
88,blobw,course
89,bmmzflr,other
90,bnbsv,student
91,boarhn,other
92,bodmvxdf,student
93,bofjb,other
94,bondtsrh,other
95,bovyrx,other
96,bpblgwar,faculty
97,bphhvc,other
98,bpjzrlxy,student
99,bpxla,other
100,bqbvlmis,other
101,bqcuk,project
102,bqfbagmb,other
103,brhotofi,faculty
104,brmtqcj,faculty
105,brorn,other
106,browzov,course
107,brwup,student
108,brzpgboe,other
109,bsjgc,other
110,bsjsuzw,project
111,bslps,other
112,btpdso,faculty
113,btrlegkg,other
114,bttjq,other
115,bulvw,student
116,bumcmpt,student
117,bvabh,other
118,bvkkhgyo,course
119,bvnniatg,other
120,bvtwusw,faculty
121,bvvko,course
122,bwjjh,faculty
123,bwvavr,faculty
124,bxwnlyu,other
125,bxxlthi,faculty
126,bypmk,other
127,byyxifzz,student
128,bzavavce,other
129,bzbyv,other
130,bzthieu,department
131,caaelf,student
132,caecfi,other
133,caeck,student
134,caogdi,course
135,cbdxh,student
136,cbuuznl,other
137,ccbje,other
138,cddmp,other
139,cdhwa,student
140,cdruyo,other
141,cehogf,faculty
142,cenlf,student
143,cfcynn,faculty
144,cfsvmoen,other
145,cftid,other
146,cfwzqt,other
147,cgjuowc,faculty
148,charmfhj,other
149,chwusgl,faculty
150,cifmtm,faculty
151,cifyk,student
152,cioumfyi,course
153,ciuipt,other
154,ciwmb,other
155,cjnrzzmk,course
156,cjnxondy,other
157,ckemt,student
158,cketrvj,other
159,ckhzgl,project
160,clcydbp,student
161,clkaoj,course
162,clpyjrid,other
163,clsxoodd,faculty
164,cnhjk,other
165,cnlce,faculty
166,coomnevj,student
167,cotsv,course
168,cqksepwt,other
169,cqqqjx,project
170,cqtek,course
171,cqyvoud,other
172,cqzxj,other
173,crbexe,other
174,crusceee,other
175,ctfljg,faculty
176,ctshqqfo,other
177,cvxtmt,project
178,cwlxvwh,course
179,cxdpjw,student
180,cxjmjdh,student
181,cxvkh,faculty
182,czkze,faculty
183,czvftspe,other
184,czwglks,other
